ImageId,EncodedPixels
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,86546 7 87055 15 87566 22 88076 25 88587 25 89098 17 89608 17 90117 19 90627 20 91138 20 91650 19 92162 17 92674 16 93185 16 93697 15 94209 14 94721 13 95233 12 95745 11 96257 10 96769 9 97281 8 97794 6 98306 5 98818 4 99330 3
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,204291 4 204802 6 205314 7 205826 7 206338 8 206850 8 207362 9 207873 11 208386 9 208898 9 209410 8 209922 8 210434 8 210946 8 211458 8 211970 9 212483 12 212995 16 213507 18 214019 21 214531 23 215042 26 215554 28 216066 29 216578 31 217090 33 217602 35 218113 37 218625 38 219137 39 219649 39 220161 40 220673 40 221185 41 221698 40 222210 40 222722 41 223234 41 223746 41 224259 41 224771 42 225283 43 225331 10 225796 58 226309 58 226822 58 227334 59 227847 58 228361 57 228877 55 229395 51 229908 51 230420 52 230932 52 231444 53 231956 53 232468 53 232979 54 233491 54 234003 54 234514 55 235026 55 235539 54 236051 53 236564 51 237077 49 237590 47 238102 47 238616 43 239135 32
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,252419 3 252930 9 253442 15 253498 10 253954 18 254009 12 254465 21 254520 14 254977 24 255031 16 255489 28 255542 19 256001 31 256054 20 256513 33 256565 22 257025 34 257077 23 257537 36 257589 24 258049 38 258101 26 258561 40 258613 30 259073 42 259124 34 259585 43 259636 36 260097 44 260148 38 260609 44 260660 40 261121 45 261172 42 261633 45 261685 44 262145 46 262197 46 262657 48 262708 50 263169 105 263681 109 264193 112 264705 114 265217 115 265729 117 266241 120 266754 60 266816 68 267266 59 267331 66 267778 59 267844 66 268290 59 268357 65 268803 58 268871 64 269319 54 269386 61 269834 51 269900 59 270348 49 270413 59 270861 48 270926 58 271374 47 271439 57 271888 44 271953 55 272401 43 272469 51 272914 42 272984 48 273427 41 273498 46 273941 38 274011 44 274455 34 274525 41 274972 28 275042 5 275052 26 275487 23 275565 24 276005 16 276079 22 276520 12 276592 20 277105 17 277621 6
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,104977 4 105478 2 105485 9 105987 19 106498 20 107010 20 107522 19 108034 14 108546 8 109058 7 109571 4
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,187405 4 187915 8 188426 11 188937 13 189449 14 189961 14 190473 14 190985 15 191497 15 192010 14 192522 15 193035 15 193058 2 193548 26 194060 28 194573 29 195086 32 195598 34 196112 33 196625 33 197138 33 197651 33 198165 33 198678 33 199190 34 199703 34 200216 34 200729 34 201242 34 201755 34 202268 33 202781 32 203294 32 203808 30 204323 27 204837 26 205349 26 205862 25 206376 23 206890 21 207405 18 207926 8 208438 10 208950 14 209462 18 209974 20 210486 21 210997 23 211508 25 212017 29 212527 32 213038 34 213550 35 214062 35 214575 35 215088 35 215600 36 216113 36 216626 35 217140 33 217656 29 218170 27 218683 26 219195 25 219708 24 220220 23 220733 20 221245 20 221757 19 222270 17 222783 12
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,97831 2 98342 4 98853 5 99365 5 99876 5 100387 6 100897 8 101408 8 101919 9 102430 9 102942 7 103452 7 103962 8 104471 10 104984 8
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,96298 2 96810 1
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,130714 2 131220 13 131730 17 132241 17 132752 16 133262 16 133759 6 133772 17 134259 41 134769 43 135280 42 135790 43 136299 44 136809 45 137320 45 137390 2 137830 46 137901 3 138340 44 138411 6 138851 43 138922 7 139361 45 139434 8 139871 47 139945 10 140382 47 140456 11 140893 48 140966 13 141404 49 141476 16 141915 50 141987 17 142427 50 142497 19 142938 52 143008 20 143450 52 143518 22 143962 52 144029 23 144473 54 144538 26 144985 54 145048 28 145497 57 145559 29 146009 91 146521 91 147033 91 147545 91 148058 90 148570 90 149082 90 149595 88 150108 87 150621 86 151134 83 151648 78 152163 71 152678 65 153196 57 153710 54 154224 51 154737 47 155250 44 155762 43 156275 41 156788 39 156854 2 157302 35 157366 2 157815 33 157878 2 158329 29 158390 3 158843 26 158902 3 159355 25 159413 4 159868 23 159925 4 160380 21 160437 4 160892 19 160926 6 160949 4 161404 18 161436 9 161460 6 161916 17 161947 11 161972 6 162428 17 162457 14 162484 6 162939 18 162967 16 162995 8 163451 18 163476 19 163507 8 163963 18 163985 23 164019 8 164475 19 164496 24 164530 10 164986 46 165042 10 165498 47 165553 10 166010 47 166063 12 166522 48 166573 14 167034 48 167084 14 167546 63 168058 63 168570 8 168579 53 169083 4 169091 52 169604 50 170115 50 170627 51 171138 52 171650 52 172161 54 172673 54 173185 54 173697 54 174209 54 174720 9 174737 37 175231 6 175252 34 175764 33 176275 33 176787 27 177299 26 177810 25 178322 24 178832 25 179341 26 179850 27 180360 28 180872 27 181384 26 181895 25 182407 15 182919 11 183431 9 183945 4
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,224402 9 224910 22 225416 34 225464 12 225926 64 226437 66 226948 68 227460 68 227972 69 228484 70 228996 71 229508 72 230020 73 230533 73 231046 74 231559 76 232073 75 232586 75 233099 76 233612 76 234124 77 234636 79 235149 80 235661 80 236174 79 236687 78 237201 76 237715 74 238229 71 238743 65 239257 56 239771 52 240285 49 240798 47 241310 5 241321 34 241839 25 242355 9 242870 4
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,243346 3 243858 3 243894 5 244371 2 244404 10 244883 2 244894 5 244915 20 245395 4 245404 10 245426 23 245908 21 245937 25 246422 20 246450 25 246936 20 246963 25 247449 20 247477 24 247962 20 247990 25 248474 21 248507 22 248986 22 249019 24 249498 22 249527 30 250010 23 250037 33 250522 24 250548 36 251018 4 251034 64 251529 7 251547 65 252041 9 252059 66 252552 17 252572 67 253063 19 253085 69 253574 20 253598 70 254085 21 254112 69 254598 21 254621 72 255110 95 255624 93 256137 92 256650 91 257163 90 257677 58 257740 24 258190 53 258254 21 258705 49 258767 15 259220 45 259280 10 259732 45 259793 8 260245 45 260302 11 260758 45 260809 16 261272 65 261785 64 262282 2 262299 62 262793 4 262811 61 263305 6 263323 29 263359 25 263816 9 263835 5 263844 19 263872 24 264328 19 264360 15 264385 23 264840 19 264875 12 264897 23 265352 20 265388 11 265409 23 265864 21 265901 11 265920 23 266377 21 266415 11 266431 22 266891 20 266930 33 267405 19 267443 31 267919 17 267956 29 268433 15 268470 26 268949 9 268986 21 269500 18 270013 16 270526 4 270532 8 271047 2
