ImageId,EncodedPixels
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,187919 8 188430 12 188941 14 189453 15 189965 16 190477 18 190989 19 191501 20 192014 20 192526 27 193038 32 193551 35 194063 37 194576 37 195089 36 195601 37 196114 38 196627 38 197140 37 197652 38 198165 37 198678 37 199191 37 199703 37 200216 36 200729 35 201242 34 201755 33 202267 33 202780 33 203293 33 203807 32 204291 4 204321 31 204802 7 204834 30 205314 9 205347 30 205826 11 205860 30 206338 12 206374 28 206850 13 206887 29 207361 15 207401 28 207873 16 207915 27 208385 17 208429 26 208897 18 208941 28 209409 19 209453 29 209921 19 209965 30 210433 20 210477 31 210945 21 210989 32 211457 22 211501 33 211969 23 212013 34 212481 25 212524 36 212993 29 213036 36 213505 33 213541 4 213548 37 214017 41 214059 38 214529 80 215041 81 215554 81 216066 81 216578 81 217090 81 217602 81 218114 81 218626 81 219138 80 219650 80 220162 79 220674 79 221186 78 221698 77 222209 76 222721 73 223233 71 223745 69 224257 66 224770 67 225282 68 225794 68 226307 68 226820 67 227337 63 227852 60 228365 60 228878 59 229392 58 229905 57 230417 58 230929 58 231441 58 231953 59 232465 59 232977 59 233489 59 234001 58 234513 58 235024 59 235538 56 236051 55 236564 53 237078 50 237590 49 238104 46 238617 44 239132 40 239647 30 240162 18 240680 5
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,200891 14 201402 17 201913 19 202425 19 202936 21 203444 25 203951 31 204458 36 204969 38 205480 39 205991 41 206501 44 207012 46 207523 48 208034 50 208546 51 209057 54 209568 56 210080 57 210591 58 211103 59 211615 59 212127 60 212638 63 213150 64 213662 65 214174 66 214686 66 215198 67 215710 68 216222 69 216735 68 217247 68 217759 68 218272 67 218784 67 219296 67 219809 66 220321 66 220834 64 221346 64 221858 63 222371 61 222883 59 223395 58 223919 10 223936 28 224432 7 224449 25 224927 6 224944 8 224961 21 225438 8 225455 10 225473 19 225948 10 225967 11 225986 17 226442 1 226457 13 226479 12 226499 15 226950 6 226967 15 226991 13 227013 12 227461 8 227477 20 227500 18 227522 16 227972 9 227988 64 228483 10 228500 65 228994 11 229011 66 229506 11 229523 67 230018 11 230035 68 230530 12 230546 70 231041 13 231056 73 231553 89 232065 90 232577 90 233089 91 233601 91 234113 91 234624 93 235136 93 235648 93 236160 93 236672 92 237184 70 237256 20 237696 68 237773 14 238208 67 238288 8 238719 67 238802 2 239231 67 239742 68 240254 32 240295 27 240766 31 240812 22 241278 30 241330 17 241789 30 241843 17 242301 27 242355 20 242813 26 242867 21 243325 25 243379 22 243837 25 243891 22 244349 17 244367 7 244404 23 244862 13 244880 6 244916 27 245374 12 245392 6 245428 28 245887 10 245905 5 245941 28 246402 6 246417 5 246453 29 246929 4 246967 28 247440 5 247483 25 247952 5 248000 21 248464 5 248514 20 248975 6 249026 21 249483 10 249536 23 249994 11 250047 25 250505 13 250554 31 251016 14 251065 32 251528 14 251576 34 252039 15 252088 35 252551 14 252599 38 252936 13 252988 7 253062 15 253110 42 253444 19 253498 12 253574 15 253615 1 253621 45 253954 22 254009 14 254085 16 254114 4 254125 5 254132 48 254466 23 254521 15 254597 16 254626 7 254636 56 254979 23 255032 17 255109 16 255138 66 255491 25 255544 18 255621 16 255650 66 256003 27 256055 21 256133 16 256161 67 256515 28 256566 23 256645 17 256673 68 257027 30 257078 24 257158 16 257184 68 257538 33 257589 27 257670 17 257696 67 258050 35 258100 31 258182 90 258562 44 258611 36 258695 87 259073 88 259207 85 259585 90 259720 83 260097 90 260232 81 260609 91 260744 81 261121 92 261256 80 261633 93 261767 80 262145 94 262279 80 262657 95 262790 80 263169 97 263301 81 263681 212 264193 212 264705 212 265217 211 265729 211 266241 210 266753 180 266937 26 267265 58 267331 110 267450 11 267464 10 267777 57 267844 107 267966 2 267979 4 268290 56 268358 104 268802 56 268871 102 269318 52 269385 71 269464 20 269833 50 269898 68 269978 17 270346 49 270412 65 270492 15 270859 47 270925 63 271007 11 271372 46 271439 60 271521 7 271885 44 271953 57 272034 5 272399 42 272467 55 272912 41 272980 53 273426 38 273494 51 273940 35 274009 47 274455 31 274527 39 274972 25 275047 30 275486 22 275562 27 276000 19 276076 24 276515 14 276589 22 277102 20 277616 17 278129 14 278643 9
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,90650 11 91162 11 91674 11 92187 10 92677 8 92701 7 93186 12 93214 6 93698 12 93726 5 94210 12 94236 8 94722 12 94747 10 95234 12 95258 12 95746 12 95769 14 96258 12 96280 15 96770 12 96785 5 96791 16 97282 36 97794 36 98306 35 98818 35 99330 35 99842 34 100354 33 100866 32 101378 4 101385 23 101890 4 101898 22 102403 1 102411 20 102924 17 103436 17 103949 15 104462 13 104976 9
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,133275 13 133750 20 133780 22 134261 54 134772 55 135282 58 135793 59 136303 61 136814 62 137325 63 137837 63 138347 65 138855 69 139362 74 139873 75 140385 75 140896 76 141407 76 141917 78 142428 79 142940 79 143451 79 143962 80 144473 81 144984 81 145495 82 146007 82 146519 83 147031 83 147543 83 148055 84 148567 85 149080 85 149592 86 150105 86 150618 85 151132 82 151648 70 151722 1 152165 63 152681 57 153195 54 153709 51 154223 49 154736 46 155249 44 155762 42 156275 41 156789 38 157303 34 157817 28 158332 23 158846 20 159361 16 159874 14 160387 11 160900 8 161412 8 161925 6 162437 5 162950 3
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,160934 2 161444 6 161953 10 162462 14 162971 18 163480 22 163990 25 164501 26 165011 28 165520 31 166030 33 166540 35 167050 37 167560 38 168071 39 168582 39 169093 40 169605 39 170117 39 170629 38 171141 38 171653 38 172165 38 172677 38 173188 40 173700 40 174212 41 174724 41 175235 42 175747 42 176259 41 176770 42 177282 41 177794 41 178306 40 178818 39 179330 39 179842 38 180355 35 180867 33 181380 27 181892 26 182405 23 182918 20 183430 19 183943 18 184458 16 184974 13 185488 12 186000 13 186048 4 186512 15 186559 5 187024 24 187070 6 187535 26 187579 8 188046 28 188090 9 188557 30 188602 8 189068 32 189114 8 189579 34 189626 9 189659 7 190091 34 190138 10 190168 16 190603 35 190650 11 190677 19 191114 36 191162 47 191626 36 191674 47 192138 37 192184 49 192650 38 192695 49 193162 39 193205 51 193675 92 194187 92 194700 90 195214 35 195252 48 195728 32 195765 46 196243 24 196269 3 196277 29 196310 10 196757 21 196782 1 196789 28 197270 20 197301 13 197316 11 197788 12 197814 12 197829 7 198331 6 198342 3 198845 3
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,285914 2 286424 13 286925 3 286936 15 287436 26 287947 27 288459 20 288481 3 288971 19 289483 18 289516 3 289995 18 290025 7 290508 18 290531 13 291020 18 291041 15 291533 17 291553 15 292046 16 292064 16 292558 16 292576 16 293071 33 293583 33 294096 32 294608 32 295120 32 295633 30 296147 28 296661 25 297174 24 297687 23 298207 14 298722 11 299237 7
78a981bd27ba0c65a9169548665a17bda9f49050d0d3893a6567d1eb92cd003d,2 18 521 21 1041 20 1561 20 2081 20 2601 19 3121 18 3641 17 4161 16 4681 15 5202 12 5723 5
78a981bd27ba0c65a9169548665a17bda9f49050d0d3893a6567d1eb92cd003d,7296 8 7814 13 8330 20 8847 24 9365 26 9882 28 10401 29 10921 29 11441 29 11961 29 12481 29 13001 29 13521 28 14041 28 14561 27 15081 25 15601 17 16121 15 16641 14 17161 13 17681 12 18201 11 18721 9 19242 7
78a981bd27ba0c65a9169548665a17bda9f49050d0d3893a6567d1eb92cd003d,25486 7 26003 13 26522 17 27041 21 27561 22 28081 24 28601 24 29121 25 29641 25 30161 25 30681 25 31201 25 31721 25 32241 25 32761 25 33281 25 33802 24 34322 23 34845 19 35373 5
78a981bd27ba0c65a9169548665a17bda9f49050d0d3893a6567d1eb92cd003d,60842 2 61362 3 61882 4 62401 9 62921 12 63441 15 63961 16 64481 17 65001 17 65521 17 66042 17 66562 18 67082 18 67602 18 68122 18 68642 18 69163 16 69684 14 70205 12 70727 9 71249 5
