ImageId,EncodedPixels
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,90115 5 90626 9 91138 10 91650 10 92162 11 92674 11 93185 13 93697 13 94209 12 94721 10 95234 8 95746 7 96258 6 96770 5 97283 1
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,188428 9 188938 12 189450 12 189961 13 190472 14 190983 15 191494 16 192007 15 192519 15 193032 14 193544 14 194057 13 194569 13 195080 14 195592 14 196104 14 196616 14 197128 14 197640 15 198151 17 198185 8 198663 18 198695 17 199175 18 199198 2 199206 20 199686 20 199708 6 199717 22 200198 20 200220 6 200228 24 200710 20 200732 32 201221 21 201244 33 201733 21 201756 33 202244 11 202261 41 202755 12 202784 31 203267 12 203299 28 203778 13 203813 27 204290 13 204327 25 204802 13 204840 25 205314 13 205352 25 205826 14 205864 25 206338 15 206376 25 206850 16 206888 25 207361 18 207400 26 207873 19 207913 25 208385 19 208425 26 208897 19 208938 26 209409 19 209450 28 209921 20 209963 28 210433 20 210475 29 210945 21 210988 29 211457 21 211500 29 211969 22 212013 29 212481 22 212525 30 212993 23 213037 30 213505 24 213550 30 214017 26 214063 30 214529 27 214576 30 215041 29 215088 31 215553 30 215601 31 216065 32 216113 32 216577 33 216625 32 217089 33 217137 32 217601 34 217649 32 218114 33 218161 32 218626 33 218673 33 219138 34 219185 32 219650 35 219697 32 220162 36 220209 31 220675 35 220721 31 221195 28 221233 31 221707 28 221745 30 222211 2 222216 31 222256 29 222723 36 222767 28 223234 37 223279 15 223295 11 223746 37 223790 8 223800 6 223808 8 224258 37 224302 8 224313 4 224320 7 224770 53 224824 6 224832 6 225282 60 225344 6 225794 67 226306 4 226315 57 226819 2 226829 54 227331 1 227342 54 227854 55 228366 55 228879 54 229391 55 229904 54 230417 53 230929 54 231442 53 231954 54 232466 54 232979 54 233491 54 234004 53 234516 53 235029 52 235541 51 236054 50 236566 49 237079 46 237593 42 238108 38 238621 36 239142 25
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,253071 2 253446 2 253581 6 253955 9 254092 8 254467 15 254523 4 254603 9 254978 19 255034 8 255115 10 255490 24 255545 11 255626 12 256002 26 256056 15 256138 13 256514 27 256567 18 256650 14 257026 28 257078 20 257162 14 257537 30 257591 21 257674 15 258049 34 258103 24 258186 16 258561 37 258615 28 258699 16 259073 39 259127 30 259211 18 259585 41 259639 31 259723 19 260097 42 260151 32 260236 19 260609 43 260663 33 260748 22 261121 44 261174 37 261260 25 261633 45 261684 40 261772 26 262145 46 262193 44 262285 27 262657 93 262797 28 263169 94 263310 29 263681 98 263823 29 264193 100 264335 30 264705 101 264810 2 264848 30 265218 108 265328 5 265360 30 265730 116 265850 2 265872 31 266242 132 266383 32 266754 133 266895 35 267266 136 267406 37 267778 177 268291 135 268435 32 268804 134 268949 28 269319 55 269380 69 269463 25 269836 49 269895 66 269977 22 270349 47 270409 64 270491 13 270863 44 270922 63 271376 43 271436 60 271890 40 271948 60 272404 38 272461 58 272917 36 272974 56 273429 36 273487 55 273943 33 274000 53 274458 28 274514 50 274979 17 275028 46 275493 13 275542 44 276012 5 276055 42 276571 37 277084 33 277597 29 278111 26 278625 22 279140 17 279655 12
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,134275 5 134782 11 135291 15 135801 17 136310 21 136819 25 137330 26 137841 25 138351 26 138860 28 139370 30 139881 31 140392 31 140901 33 141409 36 141919 37 142430 37 142941 38 143452 38 143963 39 144474 40 144985 41 145497 40 146009 40 146521 40 147033 39 147545 39 148057 38 148126 2 148570 37 148638 2 149083 36 149149 3 149596 35 149654 4 149660 4 150109 35 150165 11 150622 4 150627 29 150674 14 151140 28 151185 15 151654 27 151695 11 152171 23 152205 13 152684 23 152714 15 153196 24 153225 15 153709 25 153736 16 154222 24 154248 15 154734 40 155247 38 155760 37 156273 36 156786 34 157299 19 157322 6 157814 12 158328 8 158842 5 159358 1 159870 1 160382 2 160894 2 161406 4 161918 5 162431 4 162943 3 163455 3 163967 2 164479 2
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,167577 11 168066 1 168087 14 168575 5 168594 21 169086 6 169098 2 169105 26 169597 7 169609 5 169616 29 170109 8 170120 38 170620 51 171131 52 171642 53 172154 53 172666 53 173179 51 173693 49 174207 47 174720 45 175232 45 175745 43 176258 42 176771 40 177285 37 177798 35 178311 33 178824 31 179337 28 179851 24 180364 21 180877 18 181390 15 181903 11 182416 8 182930 2
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,240766 2 241277 4 241788 6 242299 9 242810 12 243322 13 243834 14 244347 13 244860 12 245373 11 245886 10 246399 9 246913 5 247426 2
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,202434 1 202942 6 203449 12 203958 16 204468 19 204978 22 205488 24 205996 29 206503 35 207012 40 207523 42 208030 49 208541 51 209053 52 209563 56 210074 59 210585 60 211097 61 211609 61 212121 61 212633 61 213145 61 213658 61 214170 62 214683 61 215196 61 215708 62 216221 61 216734 61 217246 62 217759 63 218271 64 218783 64 219297 62 219811 60 220326 57 220840 53 221355 48 221871 43 222384 41 222896 34 222932 4 223409 32 223922 30 224434 29 224902 4 224945 28 225413 14 225456 27 225924 18 225968 26 226434 25 226479 25 226946 26 226986 29 227458 28 227489 5 227496 31 227970 68 228483 66 228995 65 229508 64 230020 64 230533 63 231045 63 231558 63 232071 62 232584 61 233096 62 233609 63 233678 4 233684 4 234121 64 234189 15 234633 64 234701 17 235145 64 235212 19 235658 56 235716 5 235724 20 236171 55 236229 5 236235 21 236683 55 236743 25 237196 53 237257 23 237708 52 237769 23 238220 52 238281 23 238732 53 238793 22 239245 52 239303 22 239757 79 240270 74 240783 69 241295 58 241808 40 241862 1 242321 27 242834 20 243348 17 243860 17 244372 17 244885 16 245397 15 245910 14 246423 13
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,190094 2 190599 2 190604 5 191110 11 191621 13 192134 13 192646 14 193158 17 193670 20 194183 21 194695 22 195208 20 195721 19 196233 19 196746 4 196751 12 197259 1 197264 8 197778 3
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,246955 1 247466 2 247978 3 248489 4 249001 4 249512 5 250024 5 250535 6 251047 6 251559 6 252072 5 252586 2
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,190145 3 190650 12 191161 14 191672 19 192182 22 192693 24 193204 27 193715 29 194226 31 194739 30 195252 28 195765 26 196277 24 196790 22 197302 3 197308 14 197820 10 198332 6 198845 4
