ImageId,EncodedPixels
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,187407 8 187917 14 188428 20 188939 22 189451 23 189963 26 190475 30 190986 32 191498 33 192011 34 192523 36 193035 38 193548 39 194060 40 194572 41 195085 40 195597 42 196110 42 196623 42 197135 42 197648 42 198161 42 198674 42 199188 41 199700 41 200213 41 200726 40 201240 39 201753 39 202266 38 202779 38 203292 37 203806 35 204320 34 204833 33 205345 34 205858 33 206338 5 206372 32 206850 7 206887 30 207362 8 207400 29 207874 9 207913 29 208385 11 208425 30 208897 12 208938 30 209409 14 209451 30 209921 15 209964 31 210433 16 210477 31 210945 17 210989 31 211457 18 211501 33 211969 20 212014 33 212481 22 212526 34 212993 23 213039 34 213505 24 213552 33 214017 26 214064 34 214529 28 214577 33 215041 30 215089 34 215553 31 215602 34 216065 32 216115 33 216577 33 216628 32 217089 34 217141 31 217601 36 217654 30 218113 37 218167 29 218625 37 218680 28 219137 38 219192 28 219649 39 219705 27 220161 40 220217 26 220673 40 220730 24 221185 41 221243 22 221697 41 221755 21 222209 42 222267 20 222721 43 222779 18 223233 44 223291 16 223745 45 223803 11 224257 46 224315 9 224770 48 224823 13 225282 66 225794 66 226306 65 226818 65 227331 65 227843 66 228357 65 228872 63 229388 59 229900 60 230413 59 230927 57 231440 57 231953 56 232465 56 232978 55 233491 54 234004 53 234516 53 235029 52 235541 52 236054 50 236567 49 237081 46 237595 43 238108 41 238621 39 239135 34 239656 20 240174 2
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,252931 9 253442 17 253954 19 254014 2 254466 21 254524 8 254978 23 255034 14 255489 27 255545 18 256001 31 256055 24 256513 32 256566 27 257025 33 257077 29 257537 35 257589 31 258049 37 258100 35 258561 41 258610 40 259073 44 259120 44 259585 92 260097 94 260609 96 261121 98 261633 102 262145 103 262657 105 263169 107 263681 112 264193 115 264705 117 265217 119 265729 123 266241 128 266753 131 267265 132 267778 132 268290 132 268802 133 269314 133 269827 132 270339 62 270403 68 270852 58 270917 66 271366 54 271431 63 271884 47 271946 60 272398 44 272460 58 272911 42 272973 57 273425 40 273486 55 273940 36 273999 54 274455 31 274513 52 274972 25 275028 48 275487 21 275541 46 276001 18 276054 44 276517 12 276568 41 277083 36 277597 30 278111 24 278626 18 279141 12
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,93203 4 93710 10 94221 5 94731 7 95237 12 95747 14 96259 14 96770 15 97282 14 97794 13 98306 12 98818 12 99330 11 99842 11 100354 10 100866 10 101378 9 101890 9 102402 9 102914 6 103426 4 103939 1
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,98847 1 99358 2 99869 3 100380 5 100891 6 101401 8 101911 10 102422 10 102934 10 103445 9 103956 9 104466 11 104979 8 105492 6 106005 3 106518 1
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,90653 4 91165 4 91677 4 92190 3 92703 1
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,133281 6 133788 13 134297 17 134785 4 134808 18 135292 17 135313 26 135799 52 136308 55 136817 59 137327 61 137838 62 138348 64 138856 68 139365 70 139876 71 140387 71 140897 73 141408 73 141919 44 141970 22 142430 44 142484 19 142941 44 142996 18 143453 43 143508 17 143964 44 144019 17 144476 43 144531 16 144987 44 145043 15 145499 43 145554 15 146011 43 146066 15 146523 43 146578 14 147036 42 147089 14 147548 42 147600 14 148060 42 148110 15 148573 42 148618 18 149086 62 149598 61 150111 59 150624 58 151138 55 151652 53 152166 50 152684 43 153197 41 153710 40 154223 38 154738 35 155253 31 155767 28 156281 24 156797 13
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,151724 4 152233 9 152742 13 153252 16 153764 17 154278 15 154793 12 155307 11 155820 10 156333 9 156845 8 157357 8 157869 7 158382 6 158894 5 159406 5 159918 6 160429 7 160940 8 161450 10 161959 13 162470 14 162981 15 163492 16 163999 21 164510 22 165021 22 165532 23 166041 25 166551 26 167062 27 167573 27 168083 29 168593 30 169094 1 169103 32 169602 5 169614 32 170114 6 170125 33 170628 4 170636 34 171141 4 171148 34 171653 5 171659 34 172166 39 172678 39 173190 39 173702 39 174214 38 174726 38 175238 38 175751 37 176263 36 176775 35 177288 33 177801 31 178315 28 178828 26 179341 23 179854 16 180368 11 180881 5
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,184535 1 184540 4 185044 13 185550 20 186055 1 186059 23 186550 2 186558 2 186564 31 187060 48 187566 54 188076 57 188582 64 189092 66 189601 69 190102 80 190610 84 191118 88 191629 89 192141 30 192174 56 192653 29 192688 53 193165 28 193200 53 193677 27 193712 53 194189 24 194225 51 194702 19 194736 52 195216 12 195248 50 195759 49 196271 46 196783 39 197295 36 197810 26 198324 20 198838 16 199353 11 199869 5 200380 7 200892 8 201404 8 201915 10 202427 10 202938 12 203448 16 203958 19 204467 23 204977 26 205488 27 205998 30 206508 34 207017 39 207527 42 208038 44 208549 46 209060 48 209570 52 210082 54 210593 56 211105 56 211617 57 212128 60 212640 61 213152 63 213664 63 214176 64 214688 65 215200 65 215712 65 216225 65 216737 65 217249 65 217762 65 218274 65 218786 65 219299 64 219811 63 220324 62 220836 61 221349 60 221861 60 222372 60 222882 60 223393 59 223903 55 224412 56 224918 55 225419 63 225928 65 226438 66 226950 65 227462 65 227974 66 228486 66 228998 66 229510 66 230022 67 230535 66 231048 66 231561 66 232073 67 232586 68 233098 69 233611 70 234124 71 234636 73 235149 73 235661 73 236174 72 236686 72 237199 72 237711 72 238224 70 238736 66 239249 49 239761 41 240273 36 240786 33 241298 31 241811 26 242324 21 242837 16 243350 11
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,248511 12 249019 19 249531 22 249998 2 250042 28 250507 7 250552 34 251018 11 251059 44 251529 15 251570 46 252041 16 252081 48 252553 17 252592 50 253065 18 253103 52 253576 21 253614 54 254088 22 254125 56 254601 23 254636 57 255113 24 255147 58 255625 25 255659 58 256138 26 256169 60 256650 91 257163 90 257675 90 258188 89 258701 88 259214 87 259727 85 260239 85 260751 84 261264 81 261777 79 262289 78 262802 76 263314 75 263827 38 263868 33 264339 37 264381 31 264852 35 264895 28 265364 35 265408 27 265877 32 265921 24 266389 31 266435 21 266902 28 266948 18 267414 27 267461 16 267927 25 267974 14 268443 19 268494 3 268958 13 269477 4
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,283862 3 284372 8 284883 12 285394 15 285906 17 286417 20 286929 21 287441 22 287953 23 288466 23 288978 24 289490 25 290002 26 290515 26 291028 26 291540 27 292052 28 292565 27 293077 28 293590 27 294102 27 294615 26 295127 26 295640 25 296154 23 296667 21 297181 19 297693 19 298206 16 298724 8 299239 1
