ImageId,EncodedPixels
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,188429 4 188939 8 189450 11 189962 14 190474 17 190494 1 190986 22 191497 25 192010 26 192522 29 193035 37 193548 40 194061 41 194573 41 195086 42 195599 42 196112 42 196625 42 197138 42 197650 42 198163 41 198676 40 199189 40 199702 39 200214 39 200727 38 201240 37 201752 38 202242 2 202265 37 202754 3 202777 38 203266 3 203291 36 203778 4 203805 34 204290 5 204320 32 204802 6 204834 30 205314 7 205347 29 205826 8 205860 28 206337 9 206373 27 206849 10 206886 26 207361 10 207398 25 207873 11 207911 24 208385 11 208423 25 208897 11 208936 26 209409 11 209448 31 209921 11 209961 31 210434 11 210473 32 210945 13 210985 33 211457 15 211497 34 211969 18 212009 36 212481 20 212521 37 212993 22 213033 38 213505 23 213545 39 214017 25 214057 40 214529 27 214570 40 215041 28 215082 42 215553 29 215595 42 216065 30 216108 41 216577 31 216620 41 217089 32 217132 41 217601 40 217644 42 218114 41 218160 38 218626 41 218674 36 219138 42 219186 36 219650 43 219698 35 220162 44 220210 34 220674 44 220722 32 221186 44 221233 32 221698 45 221744 33 222211 77 222723 75 223235 71 223747 66 224260 62 224772 62 225285 61 225798 60 226312 58 226825 57 227338 57 227852 56 228368 53 228882 52 229396 51 229908 52 230420 54 230932 55 231443 57 231955 58 232467 58 232978 59 233490 58 234002 58 234514 58 235025 58 235538 56 236051 54 236564 51 237078 47 237591 45 238104 43 238617 41 239144 16
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,200894 7 201403 13 201914 15 202425 17 202936 19 203442 26 203953 28 204464 29 204975 31 205485 33 205994 37 206502 42 207012 45 207523 47 208034 48 208545 50 209056 52 209568 53 210079 54 210591 55 211102 57 211614 58 212125 60 212637 60 213149 61 213661 62 214173 63 214685 64 215197 65 215709 67 216221 68 216734 67 217246 67 217759 65 218272 64 218784 64 219297 62 219809 61 220322 60 220834 59 221349 54 221863 51 222373 52 222884 52 223395 50 223907 7 223922 18 224418 9 224436 15 224927 38 225431 47 225936 55 226441 63 226949 67 227459 70 227971 71 228483 72 228995 73 229506 75 230019 76 230532 76 231047 75 231563 73 232076 75 232588 77 233101 77 233613 79 234125 81 234637 82 235149 83 235662 82 236174 81 236686 80 237199 38 237244 33 237712 36 237758 12 237772 15 238224 35 238271 9 238285 12 238736 34 238783 4 238798 4 238804 4 239247 34 239295 1 239759 30 240269 22 240779 23 241290 23 241801 23 242302 7 242312 23 242813 9 242824 22 243324 34 243836 33 244349 32 244861 31 244922 2 245373 30 245433 6 245885 29 245944 8 246398 4 246404 21 246453 15 246918 17 246961 23 247431 14 247471 27 247945 10 247982 30 248458 8 248492 34 248969 9 249004 35 249479 12 249515 38 249991 13 250025 45 250502 15 250536 49 251014 16 251048 51 251526 16 251559 53 252037 25 252071 55 252549 30 252580 60 253061 94 253497 14 253573 95 253955 16 254008 16 254085 96 254466 22 254519 18 254597 96 254978 25 255031 19 255110 96 255490 28 255542 21 255622 96 256002 30 256054 22 256135 96 256513 32 256565 24 256648 95 257025 33 257077 25 257160 95 257537 34 257589 27 257673 93 258049 39 258101 30 258185 93 258561 43 258612 35 258698 91 259073 45 259124 37 259211 89 259585 45 259636 38 259725 86 260097 46 260147 40 260237 85 260609 91 260748 86 261121 92 261259 2 261263 82 261633 93 261770 3 261776 81 262145 94 262282 3 262288 80 262657 96 262793 5 262799 80 263169 104 263303 87 263681 110 263814 86 264193 111 264325 86 264705 112 264837 32 264871 51 265217 113 265348 31 265384 49 265729 114 265859 85 266241 115 266370 84 266754 115 266879 59 266943 18 267266 118 267389 60 267463 1 267778 182 268290 177 268468 3 268803 176 269318 172 269834 168 270348 54 270408 70 270484 29 270860 52 270921 68 270998 27 271373 50 271434 66 271516 20 271886 49 271948 63 272032 16 272400 46 272464 58 272546 13 272913 45 272978 56 273061 9 273426 43 273492 53 273574 6 273939 41 274006 50 274453 37 274520 47 274970 30 275034 44 275485 25 275550 38 275999 22 276064 35 276515 17 276576 34 277031 2 277036 4 277089 7 277099 22 277601 5 277612 17 278114 2 278125 4 278638 1 279149 3 279660 4 280166 3 280172 4 280677 12 281189 12 281702 11 282217 8 282730 8 283242 9 283755 9 284267 10 284781 10 285294 10 285807 10 286322 8 286835 8 287348 6 287861 5 288375 1
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,93194 4 93705 7 94216 15 94724 20 95235 22 95746 23 96258 23 96770 23 97283 23 97795 23 98307 23 98820 22 99333 21 99845 21 100358 21 100870 21 101383 21 101895 21 102407 20 102920 17 103432 16 103944 14 104456 12 104969 9 105483 5
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,133761 4 134269 11 134305 4 134775 18 134814 8 135284 22 135324 11 135793 25 135833 18 136304 27 136344 19 136815 30 136855 21 137326 32 137366 22 137836 63 138346 61 138855 62 139364 65 139874 66 140384 67 140894 69 141404 70 141915 71 142426 71 142938 70 143449 71 143960 71 144472 70 144984 68 145496 67 146008 66 146520 65 147032 65 147544 63 148057 61 148569 62 149082 62 149596 60 150109 49 150163 5 150622 45 150676 5 151135 43 151188 5 151648 42 151700 7 152162 39 152212 9 152676 36 152724 10 153191 31 153236 11 153249 3 153705 29 153747 18 154223 22 154259 21 154738 18 154771 22 155252 14 155283 23 155766 11 155795 23 156281 7 156307 23 156818 24 157330 24 157841 26 158353 26 158865 27 159376 28 159888 28 160400 28 160903 37 161414 38 161925 39 162436 40 162947 41 163458 42 163970 42 164481 43 164993 42 165504 43 166016 43 166527 44 167038 45 167550 44 168062 44 168573 45 169085 45 169597 45 170108 46 170620 46 171132 46 171644 46 172156 46 172668 46 173181 46 173693 46 174206 45 174719 45 175232 44 175745 43 176258 41 176771 40 177284 38 177796 25 177824 10 178309 23 178336 9 178821 25 178847 9 179333 34 179845 33 180357 32 180869 31 181381 30 181894 28 182407 7 182420 13 182921 3 182933 11 183445 11 183957 10 184469 9 184981 9 185494 7 186006 7 186517 7 187029 7 187540 8 188050 10 188561 11 189072 19 189582 22 190092 24 190603 25 191114 26 191625 27 192137 28 192649 28 192682 2 193161 29 193193 5 193672 30 193704 7 194184 40 194697 39 195211 26 195241 7 195726 21 195754 6 196243 15 196267 5 196758 10 196781 3 197271 7 197294 1
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,152754 1 153265 3 153777 3 154290 2
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,185038 1 185547 5 186057 9 186568 11 187080 14 187585 23 188096 25 188607 26 189118 28 189630 28 190142 29 190653 32 191165 34 191677 35 192189 35 192701 35 193214 34 193726 34 194239 33 194751 31 195264 25 195776 22 196289 17 196803 1
f5effed21f671bbf4551ecebb7fe95f3be1cf09c16a60afe64d2f0b95be9d1eb,283345 4 283855 8 284366 10 284878 11 285389 12 285901 12 286413 13 286924 14 287437 15 287949 16 288461 17 288974 17 289486 18 289999 17 290512 15 291024 15 291537 13 292049 13 292561 13 293073 13 293584 14 294096 14 294608 14 295120 14 295632 15 296144 15 296657 15 297169 15 297681 15 298194 14 298712 7 299226 3
78a981bd27ba0c65a9169548665a17bda9f49050d0d3893a6567d1eb92cd003d,2 18 521 20 1041 20 1561 20 2081 20 2601 20 3121 19 3641 18 4161 16 4681 14 5201 12 5722 8 6242 6
78a981bd27ba0c65a9169548665a17bda9f49050d0d3893a6567d1eb92cd003d,7815 8 8332 14 8849 19 9366 24 9882 29 10401 30 10921 31 11441 31 11961 31 12481 30 13001 29 13521 28 14041 27 14561 25 15081 23 15601 14 16121 12 16641 12 17161 12 17681 12 18201 11 18721 10 19241 8 19762 5 20283 1 20803 1 21323 1 21843 5 22362 7 22882 7 23402 7 23922 6
78a981bd27ba0c65a9169548665a17bda9f49050d0d3893a6567d1eb92cd003d,24966 6 25483 12 26003 14 26522 18 27042 20 27562 21 28082 23 28601 24 29121 25 29641 25 30161 25 30681 25 31201 25 31721 25 32241 25 32762 24 33282 24 33804 21 34326 19 34848 16 35372 7 35895 1
78a981bd27ba0c65a9169548665a17bda9f49050d0d3893a6567d1eb92cd003d,85811 3 86329 9 86848 12 87364 17 87882 20 88402 21 88921 22 89441 23 89961 23 90481 22 91001 22 91521 22 92041 21 92561 21 93081 21 93602 19 94122 18 94643 14 95167 6
78a981bd27ba0c65a9169548665a17bda9f49050d0d3893a6567d1eb92cd003d,101405 9 101922 15 102441 16 102961 16 103481 17 104001 17 104521 17 105041 17 105561 17 106081 17 106601 17 107121 18 107641 18 108161 18 108681 18 109201 18 109721 17 110241 17 110761 17 111281 16 111802 13 112322 11 112842 7 113363 2
78a981bd27ba0c65a9169548665a17bda9f49050d0d3893a6567d1eb92cd003d,126882 8 127401 12 127921 14 128441 15 128961 16 129481 16 130001 17 130521 17 131041 17 131561 17 132081 17 132601 18 133121 18 133641 18 134161 18 134681 18 135201 18 135721 17 136241 17 136761 17 137281 16 137801 16 138321 15 138841 13 139362 11
